temperature,humidity,pressure,wind_speed,rain,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,year,month,day,day_of_week,aqi_lag_1,aqi_rolling_mean_3
32.0,72,996.6,14.9,0.0,29.9,15.8,207.9583333333333,11.158333333333331,10.820833333333333,68.91666666666667,2024,6,30,3,67.91666666666667,68.43055555555553
32.3,74,994.2,22.6,0.0,88.0125,24.33333333333333,170.33333333333334,7.3875,5.5125,69.04166666666667,2024,7,1,1,57.66666666666666,63.111111111111086
32.5,70,992.8,22.1,0.0,98.85416666666669,27.59166666666667,164.66666666666666,7.125,5.504166666666666,67.20833333333333,2024,7,2,5,63.75,68.0972222222222
32.2,73,994.5,22.2,0.3,93.86666666666667,22.175,154.20833333333334,6.783333333333334,5.329166666666667,58.75,2024,7,3,6,82.875,74.37499999999999
31.6,73,997.2,18.3,0.4,101.2625,22.991666666666664,153.45833333333334,6.991666666666667,5.966666666666666,58.375,2024,7,4,4,76.5,77.04166666666664
31.4,71,995.9,18.9,0.6,103.825,24.775,147.375,6.925,5.904166666666666,61.125,2024,7,5,0,71.75,74.59722222222221
31.9,68,993.3,23.7,0.0,113.21666666666664,30.6625,150.79166666666666,6.758333333333333,5.008333333333334,74.41666666666667,2024,7,6,2,75.54166666666667,76.6111111111111
32.1,75,994.6,25.3,0.3,125.91666666666669,34.362500000000004,174.375,8.445833333333333,5.775,77.66666666666667,2024,7,7,3,82.54166666666667,84.7222222222222
31.6,75,998.7,14.0,0.3,172.42499999999998,40.3875,230.2083333333333,12.4375,15.445833333333333,87.54166666666667,2024,7,8,1,96.08333333333331,91.55555555555554
31.6,78,1000.4,13.0,0.9,121.10833333333332,34.90416666666667,273.0416666666667,16.625,14.158333333333331,89.58333333333333,2024,7,9,5,96.04166666666669,103.01388888888887
31.8,78,1001.7,17.4,0.1,109.75833333333333,32.920833333333334,251.5833333333333,15.695833333333333,8.75,66.5,2024,7,10,6,116.91666666666669,105.06944444444444
31.5,74,1000.6,28.2,0.6,76.35416666666667,25.5,180.875,9.045833333333333,4.429166666666666,53.458333333333336,2024,7,11,4,102.25,101.84722222222221
31.0,75,997.0,34.6,1.2,69.05833333333334,25.616666666666664,152.25,7.108333333333333,3.333333333333333,47.54166666666666,2024,7,12,0,86.375,88.51388888888887
30.8,78,996.7,28.3,2.2,77.86666666666666,26.9625,180.41666666666663,9.308333333333334,3.8708333333333336,48.66666666666666,2024,7,13,2,76.91666666666667,81.59722222222221
30.7,78,996.9,23.1,0.6,79.88333333333334,23.7875,184.41666666666663,9.995833333333334,4.808333333333334,46.16666666666666,2024,7,14,3,81.5,78.93055555555554
31.1,75,998.3,15.9,0.0,162.88750000000002,32.93333333333333,235.16666666666663,14.666666666666666,8.6875,64.41666666666667,2024,7,15,1,78.375,81.93055555555553
31.9,74,998.2,17.6,0.1,135.91666666666666,31.479166666666668,242.79166666666663,16.008333333333333,8.1,68.91666666666667,2024,7,16,5,85.91666666666667,88.02777777777777
31.8,77,996.9,16.3,0.0,110.65,29.6,239.41666666666663,14.679166666666667,9.5375,74.5,2024,7,17,6,99.79166666666669,91.05555555555554
32.1,77,997.1,17.8,0.0,98.75416666666666,29.0625,185.54166666666663,9.375,6.904166666666666,70.375,2024,7,18,4,87.45833333333333,91.84722222222221
31.8,72,995.7,18.7,0.0,95.19583333333333,33.47083333333333,216.0,10.466666666666669,6.229166666666667,77.20833333333333,2024,7,19,0,88.29166666666667,89.30555555555554
32.8,71,995.9,13.8,0.2,110.18333333333334,35.30833333333333,266.2916666666667,15.708333333333334,10.358333333333333,84.58333333333333,2024,7,20,2,92.16666666666669,92.19444444444444
33.3,69,996.6,10.8,4.2,80.56666666666666,36.62083333333333,347.75,18.320833333333333,17.775000000000002,108.83333333333331,2024,7,21,3,96.125,102.43055555555554
31.9,77,997.4,21.2,3.4,65.31666666666666,24.995833333333334,232.79166666666663,10.941666666666668,6.808333333333334,73.29166666666667,2024,7,22,1,119.0,102.05555555555554
30.9,77,997.1,24.8,0.1,85.7375,25.5,186.3333333333333,8.416666666666666,4.995833333333334,61.54166666666666,2024,7,23,5,91.04166666666669,95.22222222222221
30.6,76,994.6,25.1,0.0,134.30833333333334,31.04583333333333,174.75,7.708333333333333,4.875,57.16666666666666,2024,7,24,6,75.625,84.91666666666664
30.7,76,993.4,20.8,0.3,152.17083333333332,34.375,177.91666666666666,8.704166666666667,5.6375,54.958333333333336,2024,7,25,4,88.08333333333333,85.48611111111109
31.2,76,994.9,21.9,0.4,137.06666666666666,33.32083333333333,174.125,8.058333333333334,5.333333333333333,62.958333333333336,2024,7,26,0,92.75,93.09722222222219
31.2,74,996.4,22.5,0.0,150.65,33.5625,169.54166666666666,7.766666666666667,5.370833333333334,63.833333333333336,2024,7,27,2,98.45833333333331,94.79166666666664
31.1,74,995.8,14.9,0.0,174.8166666666667,38.96666666666667,218.25,12.704166666666666,9.408333333333331,63.833333333333336,2024,7,28,3,93.16666666666669,99.73611111111109
30.4,77,995.6,12.1,3.3,164.87083333333334,34.78333333333333,237.54166666666663,14.9,15.329166666666666,62.875,2024,7,29,1,107.58333333333331,102.55555555555554
29.2,85,997.6,9.7,18.4,95.8,30.1625,260.0833333333333,16.683333333333334,9.216666666666669,59.625,2024,7,30,5,106.91666666666669,105.18055555555554
29.2,86,999.7,13.5,2.3,35.979166666666664,17.349999999999998,263.75,16.4375,8.820833333333333,64.25,2024,7,31,6,101.04166666666669,93.1111111111111
29.5,83,998.2,27.9,1.4,55.625,21.92083333333333,192.04166666666663,9.595833333333331,4.175,56.5,2024,8,1,4,71.375,78.94444444444444
29.3,84,997.4,22.8,1.0,94.05416666666667,26.40833333333333,188.5833333333333,10.666666666666666,4.220833333333333,44.16666666666666,2024,8,2,0,64.41666666666667,71.09722222222221
29.2,82,998.1,19.5,0.2,116.32916666666668,32.11666666666667,231.9583333333333,15.495833333333332,5.520833333333333,42.66666666666666,2024,8,3,2,77.5,76.24999999999999
28.9,83,998.0,16.1,2.5,138.27083333333334,33.90833333333333,239.04166666666663,14.891666666666666,5.745833333333334,49.208333333333336,2024,8,4,3,86.83333333333333,86.20833333333331
28.6,82,1000.4,13.1,1.6,113.37083333333334,28.191666666666663,220.7083333333333,13.379166666666668,6.945833333333334,49.708333333333336,2024,8,5,1,94.29166666666669,91.54166666666664
28.4,83,1001.0,17.6,1.1,85.02916666666667,23.004166666666663,206.91666666666663,12.929166666666667,5.404166666666666,44.16666666666666,2024,8,6,5,93.5,88.13888888888887
28.9,78,1001.0,27.1,0.4,73.25833333333334,20.316666666666663,167.45833333333334,7.462499999999999,3.829166666666666,49.75,2024,8,7,6,76.625,80.45833333333331
29.3,76,1002.3,22.0,0.7,66.60833333333333,20.079166666666666,185.5,8.541666666666666,4.4125000000000005,51.708333333333336,2024,8,8,4,71.25,72.1111111111111
29.6,75,1003.7,22.2,0.5,65.72500000000001,18.329166666666666,186.41666666666663,8.295833333333333,4.358333333333333,50.04166666666666,2024,8,9,0,68.45833333333333,68.70833333333331
29.8,74,1003.3,28.3,0.4,55.333333333333336,16.116666666666667,154.95833333333334,6.658333333333334,3.6625,47.333333333333336,2024,8,10,2,66.41666666666667,64.83333333333331
29.1,79,1000.8,29.8,1.1,52.1875,15.85,156.25,6.8625,3.470833333333333,44.41666666666666,2024,8,11,3,59.625,61.41666666666665
29.0,81,1001.4,21.8,1.4,87.15833333333335,18.8375,179.45833333333334,9.1875,4.558333333333334,42.125,2024,8,12,1,58.208333333333336,59.902777777777764
29.4,80,1003.3,17.0,0.4,87.79583333333333,17.1125,194.5,10.458333333333334,5.625,44.54166666666666,2024,8,13,5,61.875,61.027777777777764
29.5,78,1003.9,18.8,0.0,117.72083333333336,18.441666666666663,173.0,8.066666666666666,4.9750000000000005,45.333333333333336,2024,8,14,6,63.0,67.65277777777776
29.2,80,1002.7,21.1,1.9,82.10416666666667,19.0375,170.79166666666666,7.1625000000000005,4.629166666666666,45.375,2024,8,15,4,78.08333333333333,71.04166666666664
28.7,80,1001.0,19.1,1.1,65.46666666666667,19.254166666666663,167.79166666666666,7.9125,4.641666666666667,40.583333333333336,2024,8,16,0,72.04166666666667,71.99999999999999
29.0,77,1002.3,16.2,0.1,78.07083333333334,20.78333333333333,192.4583333333333,11.083333333333334,5.5,37.625,2024,8,17,2,65.875,67.97222222222221
